User Input,Chatbot Response,Timestamp
Hi,Nothing much,2024-12-04 20:08:44
How is the weather,"I'm fine, thank you",2024-12-04 20:09:00
what is the weather,My purpose is to assist you,2024-12-04 20:09:15
hi,Nothing much,2024-12-04 20:10:23
Hello,Hi there,2024-12-04 20:12:34
Tell me about food,"As a chatbot, I don't eat, but I'm here to help with any questions you have about food!",2024-12-06 20:50:18
What's the time,"I'm sorry, but I don't have access to real-time information like the current time.",2024-12-06 20:51:18
Suggest some places to visit in Andhra Pradesh,"Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 14:11:06
Suggest some places to travel in Andhra Pradesh,"Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 19:46:18
Suggest places to travel in Andhra Pradesh,"Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 19:46:51
Suggest places to visit in Andhra Pradesh,Araku Valley- Known as Andhra's Ooty near to Vizag City known for its coffee planation.,2024-12-07 19:47:02
Suggest places to visit in Andhra Pradesh,"1) Araku Valley- Known as Andhra's Ooty near to Vizag City known for its coffee planation. 2) Undavalli Caves - A four-storied monolithic cave those were carved out from a hill during 4th century A.D. 3) Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 19:50:27
Suggest places to visit in Andhra Pradesh,"1) Araku Valley- Known as Andhra's Ooty near to Vizag City known for its coffee planation. 2) Undavalli Caves - A four-storied monolithic cave those were carved out from a hill during 4th century A.D. 3) Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 19:51:18
Suggest places to visit in Andhra Pradesh,"1) Araku Valley- Known as Andhra's Ooty near to Vizag City known for its coffee planation. 
 2) Undavalli Caves - A four-storied monolithic cave those were carved out from a hill during 4th century A.D. 3) Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 19:53:08
Suggest places to visit in Andhra Pradesh,"1) Araku Valley- Known as Andhra's Ooty near to Vizag City known for its coffee planation. 
2) Undavalli Caves - A four-storied monolithic cave those were carved out from a hill during 4th century A.D. 
3) Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 19:55:14
Suggest places to visit in Andhra Pradesh,"1) Araku Valley- Known as Andhra's Ooty near to Vizag City known for its coffee planation. 
2) Undavalli Caves - A four-storied monolithic cave those were carved out from a hill during 4th century A.D. 
3) Gandikota Fort - Built on the banks of river Penna comprises Madhavaraya and Ranganatha temples. This area resembles the Grand Canyon of Arizona state, so also called as Grand Canyon of India.",2024-12-07 20:06:02
